Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
emia2020,Cross-disciplinary Design Thinking,3 Credit(s),,,,,,IDPO 2020,,This course focuses on user-collaborative design methods for generating inclusive product solutions that integrate stakeholder and product functionality perspectives. Students will create specified product/ process /policy /protocol /plan (5P) concept models using recursive user feedback engagement methods@ experimental prototyping@ and divergent and convergent ideation strategies. Featured topics include design thinking; stakeholder research; concept development@ screening@ and selection; and interaction design. For students enrolling in extended major programs and students with consent from the instructor.
emia2200,Introduction to Digital Media,3 Credit(s),,,,,,,,This course covers a broad range of digital media topics and techniques that equip students with the relevant knowledge and skills to bridge to other courses and opportunities in the Extended Major program in DMCA. This course will focus on both the soft and hard skills of digital media covering the aesthetics@ theory and practice of digital photography and cinematography@ content creation@ visual storytelling@ media design@ interactive and immersive media@ generative arts and their relevant software and hardware operation in areas such as picture and sound editing@ digital effects and so on. For students enrolled in the Extended Major Program in DMCA.
emia2500,Special Topics (I),1-4 Credit(s),,,,,,,,This special topic course will help students to gain a more in-depth knowledge and to have a better understanding on the topics related to their interdisciplinary studies or emerging interdisciplinary areas. A range of professional activities are eligible for study@ including seminars/ lectures@ professional activities/ meetings@ journal readings or structured readings. May be repeated for credits if different topics are taken. May be graded by letter@ P/F or DI/PA/F for different offerings.
emia3500,Special Topics (II),1-4 Credit(s),,,,,,,,This special topic course will help students to gain a more in-depth knowledge and to have a better understanding on the topics related to their interdisciplinary studies or emerging interdisciplinary areas. A range of professional activities are eligible for study@ including seminars/lectures@ professional activities/meetings@ journal readings or structured readings. May be repeated for credits if different topics are taken. May be graded by letter@ P/F or DI/PA/F for different offerings.
emia4110,Practical Machine Learning,3 Credit(s),COMP 2011,COMP 4211@ MATH 4432,,,,IDPO 4110,,This course consists of three parts: 1) the foundation of machine learning including its history and core algorithms;  2) the mainstream open platforms and sources for machine learning with an emphasis on practical applications; 3) case studies to illustrate how machine learning can be used to solve the problems from different fields. This course will equip students from different backgrounds with the essential knowledge about machine learning and practical algorithms@ systems@ and platforms available for solving real-world problems. For students enrolled in extended major programs only.
emia4500,Special Topics (III),1-4 Credit(s),,,,,,,,This special topic course will help students to gain a more in-depth knowledge and to have a better understanding on the topics related to their interdisciplinary studies or emerging interdisciplinary areas. A range of professional activities are eligible for study@ including seminars/lectures@ professional activities/meetings@ journal readings or structured readings. May be repeated for credits if different topics are taken. May be graded by letter@ P/F or DI/PA/F for different offerings.
emia4990,Interdisciplinary Capstone Design,0 Credit(s),,,,,,IDPO 4990,,This course is to be taken with the Final Year or Capstone Project required by students# Major. Students will apply knowledge learnt in the Extended Major and interdisciplinary problem-solving skills to solve real-world problems in their Major areas. For students enrolling in extended major who have Final Year or Capstone Project requirement in their Major only. Graded P or F.
emia4991,Interdisciplinary Capstone Project,3 Credit(s),,,,,,IDPO 4991,,Students are expected to complete an interdisciplinary Capstone Project with strong components in an emerging area of specialization under the guidance of faculty members. The objective is to train students to apply knowledge learnt in the extended major and interdisciplinary problem-solving skills to solve real-world problems in their Major areas. For students enrolling in extended major who do not have Final Year or Capstone Project requirement in their Major only. Maybe graded PP.
eneg2910,Industrial Training,0 Credit(s),,,,,,,,A hands-on training course in practical tools relevant to the energy industry. For students in the Sustainable Energy Engineering Program only. Graded P@ PP or F.
eneg2990,Academic and Professional Development I,0 Credit(s),,,,,,,,This course is designed to provide academic advising to students@ to enhance their understanding of the energy industries and career opportunities available to them@ and to improve their communication skills. Students are required to attend discussion sessions with advisors and selected workshops and seminars. For students in the Sustainable Energy Engineering program only. Graded P or F.
eneg3110,Materials for Energy Technologies,3 Credit(s),,,,,,,MECH 3110,The societal energy transition from fossil fuels to renewable sources requires novel energy technologies@ with material design and engineering at the center of the innovation process. In this course@ we will explain the enabling materials science and engineering behind advanced energy technologies by answering questions such as why lithium powers our batteries and why it takes silicon to make a solar panel. Major material challenges of emerging energy technologies will also be discussed. During the course@ the students will be exposed to 1) the knowledge of material structure-property correlations used in energy technologies@ 2) materials synthesis and fabrication techniques for their incorporation into energy devices@ and 3) material evaluation principles in energy applications. After taking the course@ students will be able to identify desirable material properties and potentially propose new materials and manufacturing methods for specific energy technologies.
